,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
91,Old Town Road - Remix,Lil Nas X,66320,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Finland
92,Suicidal,YNW Melly,65311,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,12/27/2019,1/3/2020,Finland
93,Tavallinen,Keko Salata,64593,https://open.spotify.com/track/5Wv8kmqYiz62YnbSLk3DUs,12/27/2019,1/3/2020,Finland
94,when the party's over,Billie Eilish,63480,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,12/27/2019,1/3/2020,Finland
95,Äänii,Mouhous,62685,https://open.spotify.com/track/7qCT0FQxJYTzpUyoC10GEQ,12/27/2019,1/3/2020,Finland
96,GANG GANG,JACKBOYS,62565,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,12/27/2019,1/3/2020,Finland
97,lovely (with Khalid),Billie Eilish,62140,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,12/27/2019,1/3/2020,Finland
98,Don't Call Me Up,Mabel,62081,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,12/27/2019,1/3/2020,Finland
99,Ikuinen vappu - Vain elämää kausi 10,Samu Haber,60964,https://open.spotify.com/track/1IwaepesIidy95CNRGuvaQ,12/27/2019,1/3/2020,Finland
100,How Do You Sleep?,Sam Smith,60275,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Finland
101,Ayy Macarena,Tyga,59846,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,12/27/2019,1/3/2020,Finland
102,BOP,DaBaby,58514,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,12/27/2019,1/3/2020,Finland
103,XTC,Lukas Leon,58502,https://open.spotify.com/track/17OUBczN4xbjuCDcx0xmXL,12/27/2019,1/3/2020,Finland
104,rockstar (feat. 21 Savage),Post Malone,58267,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,12/27/2019,1/3/2020,Finland
105,Ennen Ku Mä Delaan,Spekti,58044,https://open.spotify.com/track/2ywLS7kiv8uphjK3w8JrWk,12/27/2019,1/3/2020,Finland
106,Tip Tap (Vain elämää joulu),Elastinen,57332,https://open.spotify.com/track/43ATY1G2LuUl1jh0HDQvHt,12/27/2019,1/3/2020,Finland
107,July,Noah Cyrus,57074,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,12/27/2019,1/3/2020,Finland
108,Family,The Chainsmokers,56997,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,12/27/2019,1/3/2020,Finland
109,Haluun olla yksin,Irina,56929,https://open.spotify.com/track/20Lq4oIqlCDOKkw7yPHaQw,12/27/2019,1/3/2020,Finland
110,Wake Me Up,Avicii,56887,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,12/27/2019,1/3/2020,Finland
111,Hanuri - Vain elämää kausi 10,Samu Haber,56870,https://open.spotify.com/track/5r9jhmrT1lfFzu5KjkFlgr,12/27/2019,1/3/2020,Finland
112,Mitä sulle jää (feat. Ilta),Pikku G,56833,https://open.spotify.com/track/3iCFwDBOb4WwRTDgaVehEK,12/27/2019,1/3/2020,Finland
113,Keski-Suomeen,Lord Est,56363,https://open.spotify.com/track/6XoFQCeBo7XS7cWzvlPPdw,12/27/2019,1/3/2020,Finland
114,Had Enough (feat. Quavo & Offset),Don Toliver,56241,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,12/27/2019,1/3/2020,Finland
115,Kaikki Tää Valkenee,MKDMSK,55947,https://open.spotify.com/track/0xNm35ajSnS4W91miO6Stf,12/27/2019,1/3/2020,Finland
116,Robbery,Juice WRLD,55800,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,12/27/2019,1/3/2020,Finland
117,Jääkukkia,Lauri Tähkä,55389,https://open.spotify.com/track/4xqU0uR2FkuZPxicdOADZC,12/27/2019,1/3/2020,Finland
118,Joku raja (Vain elämää kausi 10),Antti Tuisku,55346,https://open.spotify.com/track/6wcdOZTZP2wHhJ3BQoKlXb,12/27/2019,1/3/2020,Finland
119,Let Me Down Slowly,Alec Benjamin,55287,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,12/27/2019,1/3/2020,Finland
120,Always Remember Us This Way,Lady Gaga,54985,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,12/27/2019,1/3/2020,Finland
121,Imus,Gasellit,54966,https://open.spotify.com/track/0xU0O3fzfb1HCnd6nsVxQL,12/27/2019,1/3/2020,Finland
122,WHAT TO DO? (feat. Don Toliver),JACKBOYS,54043,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,12/27/2019,1/3/2020,Finland
123,Räkis,Gettomasa,53638,https://open.spotify.com/track/1BxqXAvRM5uFjCQ6lCG328,12/27/2019,1/3/2020,Finland
124,Legends,Juice WRLD,53442,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,12/27/2019,1/3/2020,Finland
125,Liar,Camila Cabello,52731,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,12/27/2019,1/3/2020,Finland
