,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
64,Dois Lados,Wesley Safadão,1463720,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6,12/27/2019,1/3/2020,Brazil
65,Don't Start Now,Dua Lipa,1463621,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Brazil
66,Paredão,MC Kevinho,1449625,https://open.spotify.com/track/5FFpRbsH9WDYNoLauRAHpj,12/27/2019,1/3/2020,Brazil
67,Vai menina,PEDRO SAMPAIO,1401666,https://open.spotify.com/track/1oQppEGTHYN53xfEaTz4ua,12/27/2019,1/3/2020,Brazil
68,Péssimo Negócio (Ao Vivo),Dilsinho,1385499,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ,12/27/2019,1/3/2020,Brazil
69,Ela É do Tipo (feat. Drake) - Remix,MC Kevin o Chris,1364071,https://open.spotify.com/track/7qLnSuxwLNlcapat8OCWZp,12/27/2019,1/3/2020,Brazil
70,Porta Mala,Os Parazim,1361771,https://open.spotify.com/track/7vZqxuOvEwRHsGVaDykzpY,12/27/2019,1/3/2020,Brazil
71,Girassol,Priscilla Alcantara,1353087,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj,12/27/2019,1/3/2020,Brazil
72,Não Abro Mão - Ao Vivo,Maiara & Maraisa,1343574,https://open.spotify.com/track/3L2uyIJoJPjYkSETVNSPBQ,12/27/2019,1/3/2020,Brazil
73,Dois Enganados,Murilo Huff,1331426,https://open.spotify.com/track/72N0CRIAqjETbhghrkCUW2,12/27/2019,1/3/2020,Brazil
74,Maturidade (feat. Matheus & Kauan),Avine Vinny,1317371,https://open.spotify.com/track/64ePZsgVWO1zRVpHxY2VYC,12/27/2019,1/3/2020,Brazil
75,Flor Que Se Cheira - Ao Vivo,Guilherme & Benuto,1306053,https://open.spotify.com/track/49pu85144Xir6PgWjeyJhG,12/27/2019,1/3/2020,Brazil
76,Onda diferente (feat. Papatinho),Anitta,1284538,https://open.spotify.com/track/2H8ETIUEoN9YMf56X66bxd,12/27/2019,1/3/2020,Brazil
77,Poesia Acústica #8: Amor e Samba,Pineapple StormTv,1277175,https://open.spotify.com/track/2RoWhAVtQrPU53BERYlmYZ,12/27/2019,1/3/2020,Brazil
78,Café,Vitão,1268895,https://open.spotify.com/track/6i9ToXS6CAfjpp8veBklg1,12/27/2019,1/3/2020,Brazil
79,Perrengue - Ao Vivo,Gusttavo Lima,1258399,https://open.spotify.com/track/6mdU8glNHYdBBj5DuKSL1B,12/27/2019,1/3/2020,Brazil
80,Mágica - Ao Vivo,Matheus & Kauan,1255839,https://open.spotify.com/track/5cN5ZOVcYBl4Lnq50Zeqsx,12/27/2019,1/3/2020,Brazil
81,Hoje Eu Beberei - Ao Vivo,Felipe Araújo,1250776,https://open.spotify.com/track/4rnI4obabjGCPI2CCCs5VR,12/27/2019,1/3/2020,Brazil
82,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,1245891,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ,12/27/2019,1/3/2020,Brazil
83,Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília,Diego & Victor Hugo,1236286,https://open.spotify.com/track/7sl95MXCpM8WWsaH1BqvR3,12/27/2019,1/3/2020,Brazil
84,Meu Abrigo,Melim,1235059,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe,12/27/2019,1/3/2020,Brazil
85,Ciumeira - Ao Vivo,Marília Mendonça,1234096,https://open.spotify.com/track/7D5F5BzIon5zhzQrOU2pdN,12/27/2019,1/3/2020,Brazil
86,Milu,Gusttavo Lima,1207413,https://open.spotify.com/track/1nqaSoiLuqevDes4S18sO7,12/27/2019,1/3/2020,Brazil
87,Casos Pendentes - Acústico,Diego & Arnaldo,1181104,https://open.spotify.com/track/24YUl9cgjcEvgJTr2WIT1q,12/27/2019,1/3/2020,Brazil
88,Malemolência,Dynho Alves,1167824,https://open.spotify.com/track/5rwdmpN5eMWIIwK4R96vv1,12/27/2019,1/3/2020,Brazil
89,Brisa,IZA,1161494,https://open.spotify.com/track/5rNNZ6fVYxkhwqUfImVhU1,12/27/2019,1/3/2020,Brazil
90,Até o céu,Anitta,1146999,https://open.spotify.com/track/0NRP5OIrTcgGvttJlSLO0n,12/27/2019,1/3/2020,Brazil
91,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,1141543,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F,12/27/2019,1/3/2020,Brazil
92,Também Sei Fazer Falta - Ao Vivo,Israel & Rodolffo,1136119,https://open.spotify.com/track/6hrV6KYL9zM8vFAbOSxFHY,12/27/2019,1/3/2020,Brazil
93,On & On,Alok,1129539,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat,12/27/2019,1/3/2020,Brazil
94,Teu Segredo - Ao Vivo,Vou pro Sereno,1127577,https://open.spotify.com/track/15DHt4fP4FARWLvWkIxdAx,12/27/2019,1/3/2020,Brazil
95,Ouvi Dizer,Melim,1126273,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV,12/27/2019,1/3/2020,Brazil
96,Barzinho Aleatório - Ao Vivo,Zé Neto & Cristiano,1124980,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0,12/27/2019,1/3/2020,Brazil
97,Romance Proibido - Ao Vivo,MC Kevin o Chris,1109938,https://open.spotify.com/track/2UxeBJPanPvF3Q2xH6zkbC,12/27/2019,1/3/2020,Brazil
98,Namorada Reserva - Ao Vivo,Hugo & Guilherme,1106079,https://open.spotify.com/track/5GHA824FwkHeBl5u1T6kLj,12/27/2019,1/3/2020,Brazil
99,Intenção - Ao Vivo,Marília Mendonça,1103298,https://open.spotify.com/track/1qy7aOHnfnOMJoT1fhoLYG,12/27/2019,1/3/2020,Brazil
100,Circles,Post Malone,1096418,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Brazil
101,Apaixonadinha - Ao Vivo,Marília Mendonça,1072076,https://open.spotify.com/track/0rUL7vUZmCKxB0gS83W3aM,12/27/2019,1/3/2020,Brazil
102,Baile da Colômbia (Brega Funk) - Remix,MC Ysa,1069425,https://open.spotify.com/track/2qiqXQ2Suc253bR7k9AKVD,12/27/2019,1/3/2020,Brazil
103,Sei Lá,Projota,1064478,https://open.spotify.com/track/6l1PdE7lQbodewVQh16GCM,12/27/2019,1/3/2020,Brazil
104,Parabéns,Pabllo Vittar,1057252,https://open.spotify.com/track/6X0XdIcgwfVa9orJnDMQB0,12/27/2019,1/3/2020,Brazil
105,bad guy,Billie Eilish,1053046,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Brazil
