,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
78,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",425323,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
79,"death bed (coffee for your head)",Powfu,423008,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
80,"Lagdi Lahore Di (From ""Street Dancer 3D"")","Guru Randhawa",421629,https://open.spotify.com/track/5ZQnQnbUVtBO0pl3ShqVHG
81,"Can We Kiss Forever?",Kina,420009,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
82,Qaafirana,"Arijit Singh",418226,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
83,Baari,"Bilal Saeed",414084,https://open.spotify.com/track/7cuYb19oTyv1tLTgzH7qpv
84,"Intentions (feat. Quavo)","Justin Bieber",412695,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
85,"Tere Naal","Tulsi Kumar",409782,https://open.spotify.com/track/2Vw94w6FxCyaYwyCivi9Py
86,Closer,"The Chainsmokers",407590,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
87,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",404399,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
88,"Majha Block","Prem Dhillon",403864,https://open.spotify.com/track/3CPvL9ehmERejt7b5RvVAY
89,"Without Me",Halsey,400320,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
90,"O Sanam","Lucky Ali",396711,https://open.spotify.com/track/5oYRr51VatOtkFeEOursuZ
91,"Kaattu Payale","G. V. Prakash",395375,https://open.spotify.com/track/3umai3byVVIwSfEZEUY7PJ
92,Sakhiyaan,"Maninder Buttar",394393,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
93,"Chellamma (From ""Doctor"")","Anirudh Ravichander",388087,https://open.spotify.com/track/0fGclndst25Qqy8j4u5De5
94,Shower,"Becky G",387766,https://open.spotify.com/track/3DmW6y7wTEYHJZlLo1r6XJ
95,Satisfya,"Imran Khan",384535,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
96,"Dance Monkey","Tones And I",378423,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
97,"Husnn Hai Suhaana New (from ""Coolie No. 1"")","Chandana Dixit",378127,https://open.spotify.com/track/6XvQPMLZdPPV22rY7FEBpI
98,Nayan,"Dhvani Bhanushali",377686,https://open.spotify.com/track/2KrrAi2smn5Fa7sy7TxrKg
99,Faded,"Alan Walker",377226,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
100,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",376996,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
101,Perfect,"Ed Sheeran",375719,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
102,"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar",375571,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8
103,"Kaatuka Kanule","G. V. Prakash",373479,https://open.spotify.com/track/0VnEZ9XMrhMu8OCDnRBoEL
104,"Someone You Loved","Lewis Capaldi",372670,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
105,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",371658,https://open.spotify.com/track/1NX33DecZrq4ZUGDc47AfN
106,"Tum Se Hi (From ""Sadak 2"")","Ankit Tiwari",369229,https://open.spotify.com/track/2fwd3t4N8QNy9w7VT1zC97
107,"WAP (feat. Megan Thee Stallion)","Cardi B",367607,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
108,"ily (i love you baby) (feat. Emilee)","Surf Mesa",364715,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
109,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",362173,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
110,"Boy With Luv (feat. Halsey)",BTS,361889,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
111,Feelings,"Sumit Goswami",356350,https://open.spotify.com/track/0LRNOwAcNjPMxTYQahFo3S
112,"Mera Bhai",DIVINE,356342,https://open.spotify.com/track/3v3FEONiwvufayPNcWzHhc
113,"gold rush","Taylor Swift",356211,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
114,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,356171,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
115,"Ice Cream (with Selena Gomez)",BLACKPINK,351996,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
116,"Let Me Love You","DJ Snake",351841,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
117,"Tharagathi Gadhi - Telugu","Kala Bhairava",348872,https://open.spotify.com/track/7El6rXuDiiMNreCDv5QKBD
118,Samajavaragamana,"Sid Sriram",348102,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
119,"O Saki Saki (From ""Batla House"")","Neha Kakkar",347913,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
120,FRIENDS,Marshmello,345602,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
121,"Lonely (with benny blanco)","Justin Bieber",345507,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
122,"Hardum Humdum (From ""Ludo"")",Pritam,345393,https://open.spotify.com/track/33m7jeZJqPuuV2YZoF5yEs
123,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",343506,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
124,"On My Way","Alan Walker",342603,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
125,"Kun Faya Kun","A.R. Rahman",342071,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
126,"Fly To My Room",BTS,341550,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
127,"I Like Me Better",Lauv,339728,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
128,"no body, no crime (feat. HAIM)","Taylor Swift",339114,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
