,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
72,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",283891,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
73,Closer,"The Chainsmokers",280274,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
74,"Ve Maahi","Arijit Singh",279562,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
75,"Ek Raat",Vilen,278264,https://open.spotify.com/track/2jHicGSFIXm8dUdGz2wwzx
76,"bad guy","Billie Eilish",275790,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
77,"Let Me Down Slowly","Alec Benjamin",270672,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
78,Perfect,"Ed Sheeran",270037,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
79,"Ik Tera","Maninder Buttar",268346,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
80,"Kho Gaye Hum Kahan","Jasleen Royal",267850,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g
81,"Asal Mein","Darshan Raval",267791,https://open.spotify.com/track/1StFDfq4raRws97W8Wb3QS
82,"Yaad Piya Ki Aane Lagi","Neha Kakkar",267100,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
83,Faded,"Alan Walker",261545,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
84,ON,BTS,261138,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
85,Baari,"Bilal Saeed",260153,https://open.spotify.com/track/7cuYb19oTyv1tLTgzH7qpv
86,"8 Parche","Baani Sandhu",259826,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
87,"Laugh Now Cry Later (feat. Lil Durk)",Drake,259744,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
88,"I Like Me Better",Lauv,257892,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
89,"Lagdi Lahore Di (From ""Street Dancer 3D"")","Guru Randhawa",257279,https://open.spotify.com/track/5ZQnQnbUVtBO0pl3ShqVHG
90,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,254721,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9
91,"Tujhe Kitna Chahein Aur (Film Version) [From ""Kabir Singh""]","Jubin Nautiyal",253650,https://open.spotify.com/track/3lT4SlZVvqLhMeiuBv7gHW
92,"Smile (with The Weeknd)","Juice WRLD",249438,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
93,Vail,"Mankirt Aulakh",245726,https://open.spotify.com/track/1bqAnuqlgbQ55AByEp0SmM
94,Satisfya,"Imran Khan",242227,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
95,"Buttabomma - Telugu","Armaan Malik",241873,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
96,"7 rings","Ariana Grande",240186,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
97,Chedkhaniyaan,Shankar-Ehsaan-Loy,237912,https://open.spotify.com/track/30PPEJ1pEhtVnrgVNK5MEw
98,"Kalla Sohna Nai",Akhil,237808,https://open.spotify.com/track/4yurVSNjaPBKkOpbZWtuJO
99,"Breaking Me",Topic,237104,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
100,"Same Beef",Bohemia,237066,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC
101,FRIENDS,Marshmello,235798,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
102,"Kun Faya Kun","A.R. Rahman",234674,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
103,"Over Now (with The Weeknd)","Calvin Harris",234420,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
104,Yummy,"Justin Bieber",231756,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
105,"Laal Bindi",Akull,230693,https://open.spotify.com/track/3gOlVEwSmsrqKt590wbWt3
106,"Dusk Till Dawn - Radio Edit",ZAYN,229232,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
107,"Thandi Hawa",Ritviz,229165,https://open.spotify.com/track/7EPMILezRmD7gHhgx11e7k
108,Skechers,DripReport,226877,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
109,"Stay Gold",BTS,223206,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
110,"Jaan Ban Gaye",Mithoon,223107,https://open.spotify.com/track/30CDYWqqitNHUa0DGaUeIE
111,"Stunnin' (feat. Harm Franklin)","Curtis Waters",220073,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
112,"Stuck with U (with Justin Bieber)","Ariana Grande",219977,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
113,Vaaste,"Dhvani Bhanushali",217300,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
114,"Saari Ki Saari 2.0","Darshan Raval",217028,https://open.spotify.com/track/34ppgPuSUgKIqUIBT26ulf
115,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",216780,https://open.spotify.com/track/5ZU1GwpkNJPaGbUwXX5rpQ
116,Yalgaar,"Ajey Nagar (CarryMinati)",215467,https://open.spotify.com/track/0RGp4KA9wvndxqPIWoKwnD
117,Kabira,"Tochi Raina",214485,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
118,"Kuch Bhi Ho Jaye","B Praak",213892,https://open.spotify.com/track/2uzEDXVEAjLhGynxLu1dd9
119,Samajavaragamana,"Sid Sriram",213658,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
120,Thunder,"Imagine Dragons",213226,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
121,"O Saki Saki (From ""Batla House"")","Neha Kakkar",213043,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
122,"Be Kind (with Halsey)",Marshmello,212880,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
123,Butterfly,"Jass Manak",212010,https://open.spotify.com/track/480Zt0NUsxTql86SlMtiVz
124,"Girls Like You (feat. Cardi B)","Maroon 5",211703,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
125,"Dooriyan (feat. Kaprila)","Dino James",210942,https://open.spotify.com/track/4nKc9yiwXWlEByq1oMfHU6
126,"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar",210865,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8
127,"Tera Ghata","Gajendra Verma",210609,https://open.spotify.com/track/0JBhoxPKHJc1ZeJrjSt0VO
128,"Ik Vaari Aa (From ""Raabta"")","Arijit Singh",210468,https://open.spotify.com/track/5sul5AkWmzi2fE70oS7mK9
129,"Shape of You","Ed Sheeran",210036,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
130,Peed,"Diljit Dosanjh",208188,https://open.spotify.com/track/2Ny0SqN4HHB7nfdre6YlDb
131,"The Plan - From the Motion Picture ""TENET""","Travis Scott",208129,https://open.spotify.com/track/551xyaSJsg8hILXFq9JdST
132,"Let Me Love You","DJ Snake",207858,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
133,"The Box","Roddy Ricch",207841,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
134,Sage,Ritviz,207017,https://open.spotify.com/track/64RkEV5b7bG697vhIPMlrl
135,Attention,"Charlie Puth",206743,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
136,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",206411,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
