,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
81,"forget me too (feat. Halsey)","Machine Gun Kelly",22050,https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m
82,Diamonds,"Sam Smith",21826,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv
83,"You Got It",Vedo,21741,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
84,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",21599,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
85,"lovely (with Khalid)","Billie Eilish",21548,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
86,eMcimbini,"Kabza De Small",21511,https://open.spotify.com/track/6HtHuxqzGApzZdJZG1vteB
87,Eazy,"Nasty C",21472,https://open.spotify.com/track/1e5O3SrnSLWnj47I29Arj0
88,"Higher Love",Kygo,21434,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
89,"Still Don't Know My Name",Labrinth,21407,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
90,"No Guidance (feat. Drake)","Chris Brown",21362,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
91,Masupa,"Kabza De Small",21132,https://open.spotify.com/track/5Id1TX4vQxyUc6dapFxMnM
92,"THE SCOTTS","THE SCOTTS",21129,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
93,"Something Special","Pop Smoke",20991,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6
94,"Got It On Me","Pop Smoke",20935,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
95,"Electric Love",BØRNS,20802,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
96,"SICKO MODE","Travis Scott",20697,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
97,"everything i wanted","Billie Eilish",20494,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
98,"After Party","Don Toliver",20422,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
99,"Your Man",Joji,20414,https://open.spotify.com/track/6Vgtvd7I5yopJdBuxqjBd2
100,"Ride It",Regard,20212,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
101,Better,ZAYN,19554,https://open.spotify.com/track/1dLXLETYiZohIZWnse4ypG
102,"ily (i love you baby) (feat. Emilee)","Surf Mesa",19482,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
103,ROXANNE,"Arizona Zervas",19127,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
104,"All Girls Are The Same","Juice WRLD",19032,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
105,"Don't Stop Believin'",Journey,18975,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
106,"Lose Control",MEDUZA,18962,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
107,"BELIEVE IT",PARTYNEXTDOOR,18908,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
108,"Say You Won't Let Go","James Arthur",18901,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
109,"Be Alright","Dean Lewis",18567,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
110,"Kings & Queens","Ava Max",18558,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
111,"Into Ingawe","Sun-El Musician",18438,https://open.spotify.com/track/428JKI7aO86RjJh0uqG9fg
112,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",18165,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
113,"Without Me",Halsey,18121,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
114,Righteous,"Juice WRLD",18059,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
115,"Call You Mine","The Chainsmokers",17944,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
116,"Eastside (with Halsey & Khalid)","benny blanco",17859,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
117,Happier,Marshmello,17849,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
118,"Ballin' (with Roddy Ricch)",Mustard,17848,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
119,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,17824,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
120,Conversations,"Juice WRLD",17769,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
121,"Ilog Drum","Kabza De Small",17597,https://open.spotify.com/track/02sxnXoCxbGxs6dPANWOHr
122,"I Like Me Better",Lauv,17533,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
123,"Dancing With A Stranger (with Normani)","Sam Smith",17473,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
124,2002,Anne-Marie,17424,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
125,"Break My Heart","Dua Lipa",17371,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
126,"bloody valentine","Machine Gun Kelly",17333,https://open.spotify.com/track/6mADjHs6FXdroPzEGW6KVJ
127,"Tap In",Saweetie,17102,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
128,"bad guy","Billie Eilish",17058,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
129,"hot girl bummer",blackbear,17056,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
130,"Ready For You","Black Coffee",17022,https://open.spotify.com/track/0SyyLzNHa2bp8OQXYqFgpw
131,Molo,"Aubrey Qwana",16992,https://open.spotify.com/track/1Jg0lG581ibc6gjzGbuRqo
132,"Into You (feat. Tamia) - Main Mix",Fabolous,16960,https://open.spotify.com/track/1Jm1I3APcmVz3MqPr5vfTx
133,"When I See U",Fantasia,16936,https://open.spotify.com/track/4iuNZTcvT9diFySSzVsnVS
134,"Sweet but Psycho","Ava Max",16921,https://open.spotify.com/track/3tNE4i6TBqMdyTZxHDAn9B
135,Epidemic,"Polo G",16909,https://open.spotify.com/track/170DNUSnQRp1tGpppF26pA
136,Perfect,"Ed Sheeran",16884,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
137,"Godzilla (feat. Juice WRLD)",Eminem,16857,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
138,"All of Me","John Legend",16857,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
139,"Bookoo Bucks","Nasty C",16839,https://open.spotify.com/track/6zdVd206eHcQ5GuDvCSGcZ
140,Sonop-Blom,"Bernice West",16833,https://open.spotify.com/track/5knddE6reVlRTbrR62HJEd
141,SAD!,XXXTENTACION,16798,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
142,"Stunnin' (feat. Harm Franklin)","Curtis Waters",16695,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
143,"feel something","Bea Miller",16643,https://open.spotify.com/track/7JDWhC422Gtk1Bq0mL3OTC
144,"Jocelyn Flores",XXXTENTACION,16638,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
145,"In Your Eyes","The Weeknd",16562,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
146,"Let Me Love You",Mario,16561,https://open.spotify.com/track/7GaFYUqP2WdR4KTPk7cXoP
147,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",16513,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
148,"Hosana (feat. Sun-El Musician & Nobunhle)","Black Motion",16512,https://open.spotify.com/track/6SlR0IzWaeNsDIW4jTlDrf
149,"Nia Lo","Kabza De Small",16506,https://open.spotify.com/track/3ceXtM3VDBKdSXiPAUA28u
150,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",16472,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
151,Falling,"Harry Styles",16455,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
152,"If I Can't Have You","Shawn Mendes",16413,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
153,"Gimme Love",Joji,16405,https://open.spotify.com/track/5jSBnH9NyaNP5zdSB3pwgu
154,"Hit Different",SZA,16121,https://open.spotify.com/track/7Bar1kLTmsRmH6FCKKMEyU
155,"What A Man Gotta Do","Jonas Brothers",16096,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
156,"Summer Of '69","Bryan Adams",16096,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
157,"Best Part (feat. Daniel Caesar)",H.E.R.,15746,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
158,"Someone To You",BANNERS,15721,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
159,"Sunday Best",Surfaces,15680,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
160,"The Middle",Zedd,15554,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
161,"Know Your Worth",Khalid,15526,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
162,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",15386,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
163,Daisy,Ashnikko,15382,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
164,Hardekole,"Ricus Nel",15359,https://open.spotify.com/track/61StNZ96SCYNlM5l0IGdPl
165,Element,"Pop Smoke",15203,https://open.spotify.com/track/57BGVV6wcyhbn3hsjlqEZB
166,"Something Just Like This","The Chainsmokers",15008,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
167,"when the party's over","Billie Eilish",15005,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
168,"Thinking out Loud","Ed Sheeran",14989,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
169,"How Do You Sleep?","Sam Smith",14969,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
170,"Imizamo Yami","Nomcebo Zikode",14915,https://open.spotify.com/track/0F9ND5RztlZ2SX0ISjV6LE
171,"3 Nights","Dominic Fike",14903,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
172,"Scars To Your Beautiful","Alessia Cara",14881,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
173,"my future","Billie Eilish",14795,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
174,Exchange,"Bryson Tiller",14777,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
175,"High Hopes","Panic! At The Disco",14746,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
176,"Money Trees","Kendrick Lamar",14687,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
177,"Life's A Mess (feat. Halsey)","Juice WRLD",14644,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs
178,"WHATS POPPIN","Jack Harlow",14550,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
179,Takeaway,"The Chainsmokers",14524,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
180,"Vuur Op Die Water",Elandré,14492,https://open.spotify.com/track/2bW96CDjgaLh6E3HM1Fv8r
181,"Never Seen the Rain","Tones And I",14452,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
182,Ew,Joji,14451,https://open.spotify.com/track/3Nc86B5XmDlG1KuEeSLD8x
183,"To Whom it May Concern","Cassper Nyovest",14426,https://open.spotify.com/track/48kRiwWllyUvwVktXXSxyF
184,"Boerepompie (feat. Snotkop)","Ricus Nel",14380,https://open.spotify.com/track/46x1zSvuhlRxGi0iQ64i65
185,ALREADY,Beyoncé,14376,https://open.spotify.com/track/6tgEc2O1uFHcZDKPoo6PC8
186,Daylight,Joji,14369,https://open.spotify.com/track/6Ed1q0X8oSKSm4IIhiQbYg
187,MODUS,Joji,14362,https://open.spotify.com/track/5BibcbKVdZUuTttSG02JTp
188,Better,Khalid,14338,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
189,"10,000 Hours (with Justin Bieber)","Dan + Shay",14317,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
190,"Lets Link",WhoHeem,14293,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5
191,"Lose You To Love Me","Selena Gomez",14262,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
192,"Girls Need Love (with Drake) - Remix","Summer Walker",14218,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
193,Sucker,"Jonas Brothers",14166,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
194,"Doef Doef (feat. Katinka, Loufi, What The Faf & Wortel Kombat)","Synth Peter",14113,https://open.spotify.com/track/0R5CKHJnL81mlddsCqH8IB
195,"Eyes Blue Like The Atlantic (feat. Subvrbs)","Sista Prod",14050,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1
196,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",14020,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
197,"Over Now (with The Weeknd)","Calvin Harris",13952,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
198,Africa,TOTO,13928,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
199,Bruises,"Lewis Capaldi",13874,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
200,"Money In The Grave (Drake ft. Rick Ross)",Drake,13787,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
