,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
80,"Last Christmas",Wham!,28755,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
81,"‘tis the damn season","Taylor Swift",28658,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA
82,"Way Out (feat. Big Sean)","Jack Harlow",28519,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
83,"Before You Go","Lewis Capaldi",28394,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
84,"Santa Tell Me","Ariana Grande",28197,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
85,Goosebumps,HVME,28020,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
86,"French Kiss","DBN Gogo",27886,https://open.spotify.com/track/0AHgsr1MU73X7DX3sSBCPr
87,"GREECE (feat. Drake)","DJ Khaled",27836,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
88,"All Girls Are The Same","Juice WRLD",27824,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
89,"HIGHEST IN THE ROOM","Travis Scott",27651,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
90,"Another Day","Kid Cudi",27602,https://open.spotify.com/track/6myUpr3GDR80Dg3zqNTmmG
91,"Toosie Slide",Drake,27390,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
92,"Don't Start Now","Dua Lipa",27282,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
93,"Ntyilo Ntyilo","Rethabile Khumalo",27223,https://open.spotify.com/track/4vjHPBQZq20lxDI8qnV8bE
94,Falling,"Trevor Daniel",27094,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
95,"Prisoner (feat. Dua Lipa)","Miley Cyrus",26746,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
96,"It's Beginning to Look a Lot like Christmas","Michael Bublé",26533,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
97,"tolerate it","Taylor Swift",26267,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6
98,"If the World Was Ending - feat. Julia Michaels","JP Saxe",26265,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
99,Monate,"Mr JazziQ",25868,https://open.spotify.com/track/7I9PH74yPxXh7mv18A1Qe1
100,"Chicago Freestyle (feat. Giveon)",Drake,25688,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
101,"Higher Love",Kygo,25199,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
102,Shallow,"Lady Gaga",25037,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
103,Señorita,"Shawn Mendes",24872,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
104,"Le Plane E’Landile","Major League Djz",24838,https://open.spotify.com/track/4XTi1U1io1dDbkKOFY3RMx
105,happiness,"Taylor Swift",24512,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ
106,"death bed (coffee for your head)",Powfu,24353,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
107,"Smile (with The Weeknd)","Juice WRLD",24304,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
108,"Rockin' Around The Christmas Tree","Brenda Lee",24303,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
109,goosebumps,"Travis Scott",24226,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
