,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
50,Call You Mine,The Chainsmokers,23901,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp,12/27/2019,1/3/2020,South Africa
51,GANG GANG,JACKBOYS,23735,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,12/27/2019,1/3/2020,South Africa
52,No Guidance (feat. Drake),Chris Brown,23120,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,12/27/2019,1/3/2020,South Africa
53,Heartless,The Weeknd,23084,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,South Africa
54,OUT WEST (feat. Young Thug),JACKBOYS,22414,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,12/27/2019,1/3/2020,South Africa
55,Higher Love,Kygo,21927,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,12/27/2019,1/3/2020,South Africa
56,Youngblood,5 Seconds of Summer,21870,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,12/27/2019,1/3/2020,South Africa
57,Sucker,Jonas Brothers,21841,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,12/27/2019,1/3/2020,South Africa
58,Shallow,Lady Gaga,21172,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,12/27/2019,1/3/2020,South Africa
59,Lucid Dreams,Juice WRLD,21105,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,South Africa
60,Dancing With A Stranger (with Normani),Sam Smith,20975,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,12/27/2019,1/3/2020,South Africa
61,Sweet but Psycho,Ava Max,20633,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,12/27/2019,1/3/2020,South Africa
62,Before You Go,Lewis Capaldi,20459,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,South Africa
63,Graveyard,Halsey,20425,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,12/27/2019,1/3/2020,South Africa
64,Look At Her Now,Selena Gomez,20266,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,12/27/2019,1/3/2020,South Africa
