,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
76,Sigue Bailandome,Yannc,325760,https://open.spotify.com/track/0GmiGIxXDNrePrHBpijYDp,12/27/2019,1/3/2020,Chile
77,Ella Quiere Beber - Remix,Anuel AA,319205,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,12/27/2019,1/3/2020,Chile
78,La Playa,Myke Towers,318146,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71,12/27/2019,1/3/2020,Chile
79,Easy - Remix,Jhay Cortez,312828,https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU,12/27/2019,1/3/2020,Chile
80,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,312443,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,12/27/2019,1/3/2020,Chile
81,Un Año,Sebastian Yatra,306335,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,12/27/2019,1/3/2020,Chile
82,Hasta Que Salga el Sol,Ozuna,303366,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl,12/27/2019,1/3/2020,Chile
83,Adan y Eva,Paulo Londra,302286,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,12/27/2019,1/3/2020,Chile
84,Te Quiero Ver,Ceaese,298892,https://open.spotify.com/track/6Xfz4YNwwIcFRyfW3QQZVp,12/27/2019,1/3/2020,Chile
85,El Efecto,Rauw Alejandro,289491,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj,12/27/2019,1/3/2020,Chile
86,C90 (Remix),John C,286380,https://open.spotify.com/track/2b6i9zx3ULzKrNWmyP0ePD,12/27/2019,1/3/2020,Chile
87,Guayo,Zion & Lennox,284857,https://open.spotify.com/track/4MR1AZhe1p0zTuH2HGhX9L,12/27/2019,1/3/2020,Chile
88,La Forma en Que Me Miras,Super Yei,284841,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW,12/27/2019,1/3/2020,Chile
89,Te Vi,Piso 21,283306,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,12/27/2019,1/3/2020,Chile
90,Fresa,TINI,281355,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM,12/27/2019,1/3/2020,Chile
