,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
55,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,567475,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy,12/27/2019,1/3/2020,Italy
56,È sempre bello,Coez,557193,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX,12/27/2019,1/3/2020,Italy
57,Candy,VillaBanks,556962,https://open.spotify.com/track/3a3EzSxWvDno8RpTMv7Xch,12/27/2019,1/3/2020,Italy
58,Someone You Loved,Lewis Capaldi,535510,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Italy
59,LA PROVA DEL CUOCO,FSK SATELLITE,535021,https://open.spotify.com/track/6VPcfYrO6oSYbEg6HTncDo,12/27/2019,1/3/2020,Italy
60,2ollipop,tha Supreme,533838,https://open.spotify.com/track/5nL0vuUo0oBm26obUe5Ogu,12/27/2019,1/3/2020,Italy
61,LOVE BANDANA,Ketama126,531154,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q,12/27/2019,1/3/2020,Italy
62,Señorita,Shawn Mendes,529702,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Italy
63,Rondini Al Guinzaglio,Ultimo,520293,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0,12/27/2019,1/3/2020,Italy
64,90MIN,Salmo,517592,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6,12/27/2019,1/3/2020,Italy
65,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,517165,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Italy
66,Polo nord - C+N Progressive Mix,Massimo Pericolo,516731,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh,12/27/2019,1/3/2020,Italy
67,1990,Achille Lauro,511741,https://open.spotify.com/track/40vSLe0L3uOrK3tRTw9KYJ,12/27/2019,1/3/2020,Italy
68,bad guy,Billie Eilish,506602,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Italy
69,Rozzi,Paky,505647,https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn,12/27/2019,1/3/2020,Italy
70,Duemila volte,Marco Mengoni,503727,https://open.spotify.com/track/6IYrpbDnFljm6QSj1KGuZD,12/27/2019,1/3/2020,Italy
