,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
69,Tal Vez,Paulo Londra,99108,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,12/27/2019,1/3/2020,Columbia
70,La Boca,Mau y Ricky,97932,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,12/27/2019,1/3/2020,Columbia
71,Los sabanales,Calixto Ochoa,97255,https://open.spotify.com/track/057OHZkaebQ21i9DAjCpEo,12/27/2019,1/3/2020,Columbia
72,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,96859,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX,12/27/2019,1/3/2020,Columbia
73,OK,Jessi Uribe,94631,https://open.spotify.com/track/7uUt5Q3ToDZhMQSGiqoLmv,12/27/2019,1/3/2020,Columbia
74,Memories,Maroon 5,92862,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Columbia
75,Adiós Amor,Christian Nodal,92747,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,12/27/2019,1/3/2020,Columbia
76,Que Te Lo Crea Tu Madre,Espinoza Paz,92747,https://open.spotify.com/track/0pein015PGI9RQiTdTo7YQ,12/27/2019,1/3/2020,Columbia
77,Enamórate De Alguien Más,Morat,92639,https://open.spotify.com/track/1fXKStjVOTmBEwjAnFSNkc,12/27/2019,1/3/2020,Columbia
78,Cuerpo en Venta,Noriel,92481,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7,12/27/2019,1/3/2020,Columbia
79,Amantes,Elder Dayán Díaz,92057,https://open.spotify.com/track/0rm6Ey3w4PrWdRac85vXN7,12/27/2019,1/3/2020,Columbia
80,Esta Noche,Mike Bahía,91259,https://open.spotify.com/track/4vhkI8x68EaGQR3Kn7Pwhc,12/27/2019,1/3/2020,Columbia
81,Robarte un Beso,Carlos Vives,90198,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,12/27/2019,1/3/2020,Columbia
82,Como Si Nada,Paola Jara,89808,https://open.spotify.com/track/48IBWHFp9h0rrbV9zFDWyy,12/27/2019,1/3/2020,Columbia
83,Procura,ChiChi Peralta,89118,https://open.spotify.com/track/2q9udNV9NK0BL3q9p6TLxf,12/27/2019,1/3/2020,Columbia
84,Solita,Sech,88853,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw,12/27/2019,1/3/2020,Columbia
85,Mi Error - Remix,Eladio Carrion,87339,https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4,12/27/2019,1/3/2020,Columbia
86,Ella Quiere Beber - Remix,Anuel AA,86882,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,12/27/2019,1/3/2020,Columbia
87,Adonay,Rodolfo Aicardi,86436,https://open.spotify.com/track/0iJNLXHRF5egPjYb7vuNIS,12/27/2019,1/3/2020,Columbia
88,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,85802,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G,12/27/2019,1/3/2020,Columbia
89,No Te Vayas,Camilo,85626,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB,12/27/2019,1/3/2020,Columbia
90,Me Provocas,Fumaratto,85411,https://open.spotify.com/track/0r3VcnXA2bjXjFjRa8ittm,12/27/2019,1/3/2020,Columbia
91,FRESH KERIAS,Feid,85232,https://open.spotify.com/track/6TvNO32huOBlWG5o69i1v7,12/27/2019,1/3/2020,Columbia
92,Besos En Guerra,Morat,84541,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA,12/27/2019,1/3/2020,Columbia
93,La player (Bandolera),Zion & Lennox,84156,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,12/27/2019,1/3/2020,Columbia
94,UN PESO,J Balvin,83678,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa,12/27/2019,1/3/2020,Columbia
95,Uniforme,Rich Music LTD,83359,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc,12/27/2019,1/3/2020,Columbia
96,Esclavo de Tus Besos,Manuel Turizo,83333,https://open.spotify.com/track/0WpwK09agFbwEUaNrGnXoe,12/27/2019,1/3/2020,Columbia
97,Déjate Querer,Lalo Ebratt,82861,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8,12/27/2019,1/3/2020,Columbia
98,everything i wanted,Billie Eilish,82172,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Columbia
99,Me Rehúso,Danny Ocean,82001,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o,12/27/2019,1/3/2020,Columbia
100,Shape of You,Ed Sheeran,81620,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,12/27/2019,1/3/2020,Columbia
101,Amarte Mas No Pude,Diomedes Diaz,80605,https://open.spotify.com/track/5ETEk6G40TFStO62Pa7Khe,12/27/2019,1/3/2020,Columbia
102,En Barranquilla Me Quedo,Joe Arroyo,80012,https://open.spotify.com/track/5zghcVb5R77fbZPUj2jZTm,12/27/2019,1/3/2020,Columbia
103,Cuando Nadie Ve,Morat,79986,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k,12/27/2019,1/3/2020,Columbia
104,Si Supieras,Daddy Yankee,79876,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu,12/27/2019,1/3/2020,Columbia
105,HP,Maluma,79650,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,12/27/2019,1/3/2020,Columbia
106,El Hijo Ausente,Pastor Lopez,79625,https://open.spotify.com/track/3U75larDoyrILdC509EHD7,12/27/2019,1/3/2020,Columbia
107,Secreto,Anuel AA,78759,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,12/27/2019,1/3/2020,Columbia
108,Créeme,KAROL G,77204,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU,12/27/2019,1/3/2020,Columbia
109,Circles,Post Malone,76858,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Columbia
110,Que Calor (with J Balvin & El Alfa),Major Lazer,76553,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,12/27/2019,1/3/2020,Columbia
111,Bohemian Rhapsody - Remastered 2011,Queen,75865,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,12/27/2019,1/3/2020,Columbia
112,La Cama,Lunay,75160,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1,12/27/2019,1/3/2020,Columbia
113,Magia (feat. Sebastián Yatra),Andrés Cepeda,74966,https://open.spotify.com/track/6xAhkN7uE1qdhPa8jZwhTb,12/27/2019,1/3/2020,Columbia
114,Ya No Tiene Novio,Sebastian Yatra,74200,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,12/27/2019,1/3/2020,Columbia
115,Falling,Trevor Daniel,73586,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Columbia
116,El Desmadre,Yeison Jimenez,73480,https://open.spotify.com/track/1UW2EbzKVV5Vubsmp5NA0j,12/27/2019,1/3/2020,Columbia
117,Cariñito,Rodolfo Aicardi,73187,https://open.spotify.com/track/7t13B1tMcF74fp7fYYVcud,12/27/2019,1/3/2020,Columbia
118,Tu Veneno,Jhonny Rivera,72290,https://open.spotify.com/track/3jNQCJYjb0RnHF2fFzGU7J,12/27/2019,1/3/2020,Columbia
119,ROXANNE,Arizona Zervas,72201,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Columbia
120,Justicia,Silvestre Dangond,71844,https://open.spotify.com/track/6ipp8Dhs33KinlF4BStgca,12/27/2019,1/3/2020,Columbia
121,Otra vez (feat. J Balvin),Zion & Lennox,71749,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,12/27/2019,1/3/2020,Columbia
122,Vaina Loca,Ozuna,71646,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,12/27/2019,1/3/2020,Columbia
123,Tabaco y Ron,Rodolfo Aicardi,71310,https://open.spotify.com/track/0yR6g8tt0IzisAPcizD4xz,12/27/2019,1/3/2020,Columbia
124,B11 (feat. Myke Towers),Rvssian,71280,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl,12/27/2019,1/3/2020,Columbia
125,MIA (feat. Drake),Bad Bunny,71197,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,12/27/2019,1/3/2020,Columbia
126,La Boca - Remix,Mau y Ricky,71099,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,12/27/2019,1/3/2020,Columbia
127,Si Se Da,Myke Towers,70538,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,12/27/2019,1/3/2020,Columbia
128,Baila Conmigo (feat. Kelly Ruiz),Dayvi,69925,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,12/27/2019,1/3/2020,Columbia
129,Año Nuevo,Billo's,69094,https://open.spotify.com/track/06VcxmEJHf3gutIjC935g4,12/27/2019,1/3/2020,Columbia
130,Lloraras,Oscar D'León,68806,https://open.spotify.com/track/38TXGZ4G7c9jBCBrwV1OrB,12/27/2019,1/3/2020,Columbia
131,Ellas Así Son,Jessi Uribe,67816,https://open.spotify.com/track/2Ms9XoE9VP7RnaVsI5Wswh,12/27/2019,1/3/2020,Columbia
132,Traicionera,Pastor Lopez,67014,https://open.spotify.com/track/5eAxAmSqRIRorA9Vu1luzI,12/27/2019,1/3/2020,Columbia
133,Te Mando Flores,Fonseca,67011,https://open.spotify.com/track/2in1gSZtv2lRbcZUmN9aAl,12/27/2019,1/3/2020,Columbia
134,Olvido Intencional,Espinoza Paz,66507,https://open.spotify.com/track/2OMdEdq3FzXkzVM9fwUxPg,12/27/2019,1/3/2020,Columbia
135,Sin Medir Distancias,Diomedes Diaz,66275,https://open.spotify.com/track/1p3kQIzyl2NKeJ45uDQw4G,12/27/2019,1/3/2020,Columbia
136,Cinco Pa' las 12,Néstor Zavarce,66218,https://open.spotify.com/track/7mSmItMB11IWTIEOVKLxuG,12/27/2019,1/3/2020,Columbia
137,Amanece,Anuel AA,66113,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,12/27/2019,1/3/2020,Columbia
138,Culpables,Manuel Turizo,66044,https://open.spotify.com/track/2zufEOvbBeIzYnRktwYk1W,12/27/2019,1/3/2020,Columbia
139,PORFA,Feid,65974,https://open.spotify.com/track/3iQOfefMGDVDwo8dZoco8T,12/27/2019,1/3/2020,Columbia
140,Lose You To Love Me,Selena Gomez,65944,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Columbia
141,Fantasias - Unplugged,Rauw Alejandro,65743,https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun,12/27/2019,1/3/2020,Columbia
142,Cupido Falló,Pipe Bueno,65666,https://open.spotify.com/track/42RKuMMmSjr4AX3m5RRm8L,12/27/2019,1/3/2020,Columbia
143,La Playa,Myke Towers,65552,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71,12/27/2019,1/3/2020,Columbia
144,Puntos Suspensivos,Piso 21,65274,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,12/27/2019,1/3/2020,Columbia
145,Piensan,Haze,65248,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN,12/27/2019,1/3/2020,Columbia
146,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,65188,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Columbia
147,Amantes,Greeicy,64894,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD,12/27/2019,1/3/2020,Columbia
148,Caraluna,Bacilos,64771,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums,12/27/2019,1/3/2020,Columbia
149,Mami,Piso 21,64699,https://open.spotify.com/track/3bDD7GGvIzAZeHz2TOYD3A,12/27/2019,1/3/2020,Columbia
150,Te Hubieras Ido Antes,Pipe Bueno,64221,https://open.spotify.com/track/0uw9huLXX2ne9bkisvYUFH,12/27/2019,1/3/2020,Columbia
151,Bendecida,Yeison Jimenez,64121,https://open.spotify.com/track/5qFO4vlG88RGZ0SpuXMikl,12/27/2019,1/3/2020,Columbia
152,Música,DJ Luian,63811,https://open.spotify.com/track/4xvTPuwHaXoDM3p0QcY7bH,12/27/2019,1/3/2020,Columbia
153,Mejores Amigos,Yera,63669,https://open.spotify.com/track/7tQ24skemknA6PPh6gwFi1,12/27/2019,1/3/2020,Columbia
154,La Noche,Joe Arroyo,63422,https://open.spotify.com/track/15DUcGdD7BnGEJW6cZmtbd,12/27/2019,1/3/2020,Columbia
155,Repítela,Jessi Uribe,62884,https://open.spotify.com/track/6syqaRHW4FsOgdGgoWvAb1,12/27/2019,1/3/2020,Columbia
156,Believer,Imagine Dragons,62735,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,12/27/2019,1/3/2020,Columbia
157,105 F Remix,KEVVO,62576,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7,12/27/2019,1/3/2020,Columbia
158,Serenata,Mike Bahía,62424,https://open.spotify.com/track/11ufNpNUBDwTGlU8sdWZaP,12/27/2019,1/3/2020,Columbia
159,Reggaeton,J Balvin,62360,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,12/27/2019,1/3/2020,Columbia
160,Blinding Lights,The Weeknd,62292,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Columbia
161,Runaway,Sebastian Yatra,61765,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,12/27/2019,1/3/2020,Columbia
162,Ya No Me Duele Más,Silvestre Dangond,61707,https://open.spotify.com/track/4JnJ9ACXmtLkpH61ZvFSaM,12/27/2019,1/3/2020,Columbia
163,7 rings,Ariana Grande,61411,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Columbia
164,Vivir Bailando,Silvestre Dangond,61363,https://open.spotify.com/track/7gL0eIncXB5ELO8BFMR3Uv,12/27/2019,1/3/2020,Columbia
165,Amor y Control,Rubén Blades,61083,https://open.spotify.com/track/1oUjLEp7oCpjQlSCiwBZsF,12/27/2019,1/3/2020,Columbia
166,Ni Gucci Ni Prada,Kenny Man,61038,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,12/27/2019,1/3/2020,Columbia
167,I Don't Care (with Justin Bieber),Ed Sheeran,60342,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Columbia
168,Bonita,Juanes,60251,https://open.spotify.com/track/3ewwb5s3WHYqEdkBnwKlTS,12/27/2019,1/3/2020,Columbia
169,Gotas De Lluvia,Grupo Niche,60184,https://open.spotify.com/track/6sna5KCgNbt1ciZtVJCjzx,12/27/2019,1/3/2020,Columbia
170,Las Caleñas,Pastor Lopez Y Su Combo,60071,https://open.spotify.com/track/5RbOjQNjaZ6IXmWg8cl4j8,12/27/2019,1/3/2020,Columbia
171,La Forma en Que Me Miras,Super Yei,59957,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW,12/27/2019,1/3/2020,Columbia
172,Presiento,Morat,59946,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp,12/27/2019,1/3/2020,Columbia
173,Sin Sentimientos,Grupo Niche,59768,https://open.spotify.com/track/4ubwzNjqHGaZZ5k06PDx1H,12/27/2019,1/3/2020,Columbia
