,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
89,Destino,Greeicy,19876,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG,12/27/2019,1/3/2020,Bolivia
90,Falling,Trevor Daniel,19543,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Bolivia
91,Aullando,Wisin & Yandel,19496,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,12/27/2019,1/3/2020,Bolivia
92,La Forma en Que Me Miras,Super Yei,19468,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW,12/27/2019,1/3/2020,Bolivia
93,Solita,Sech,19339,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw,12/27/2019,1/3/2020,Bolivia
94,MIA (feat. Drake),Bad Bunny,19320,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,12/27/2019,1/3/2020,Bolivia
95,Bonita,Juanes,19203,https://open.spotify.com/track/3ewwb5s3WHYqEdkBnwKlTS,12/27/2019,1/3/2020,Bolivia
96,Circles,Post Malone,19132,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Bolivia
97,Por Perro,Sebastian Yatra,19129,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ,12/27/2019,1/3/2020,Bolivia
98,Si Supieras,Daddy Yankee,18982,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu,12/27/2019,1/3/2020,Bolivia
99,La Playa,Myke Towers,18315,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71,12/27/2019,1/3/2020,Bolivia
100,everything i wanted,Billie Eilish,17396,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Bolivia
