,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
60,Lucid Dreams,Juice WRLD,122469,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Denmark
61,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,120974,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,Denmark
62,Had Enough (feat. Quavo & Offset),Don Toliver,120509,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,12/27/2019,1/3/2020,Denmark
63,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,120283,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,12/27/2019,1/3/2020,Denmark
64,Love Someone,Lukas Graham,118049,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,12/27/2019,1/3/2020,Denmark
65,WHAT TO DO? (feat. Don Toliver),JACKBOYS,116825,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,12/27/2019,1/3/2020,Denmark
66,"10,000 Hours (with Justin Bieber)",Dan + Shay,116807,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,12/27/2019,1/3/2020,Denmark
67,Higher Love,Kygo,116299,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,12/27/2019,1/3/2020,Denmark
68,OUT WEST (feat. Young Thug),JACKBOYS,114507,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,12/27/2019,1/3/2020,Denmark
69,when the party's over,Billie Eilish,113591,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,12/27/2019,1/3/2020,Denmark
70,Helt Stabil,Fouli,113328,https://open.spotify.com/track/74UxMl2RwVslYvWd9cGmlL,12/27/2019,1/3/2020,Denmark
71,Okay,Tessa,111866,https://open.spotify.com/track/4HtQ1OKauyaDx1jIos6Zmv,12/27/2019,1/3/2020,Denmark
72,All Around The World (La La La),R3HAB,111417,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp,12/27/2019,1/3/2020,Denmark
73,Monte Carlo,Jimilian,108636,https://open.spotify.com/track/4qTzlVKdemz4egoePc5GsV,12/27/2019,1/3/2020,Denmark
74,How Do You Sleep?,Sam Smith,108485,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Denmark
75,Body (feat. brando),Loud Luxury,108206,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,12/27/2019,1/3/2020,Denmark
76,Bandit (with YoungBoy Never Broke Again),Juice WRLD,107843,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,12/27/2019,1/3/2020,Denmark
77,All In,Branco,105858,https://open.spotify.com/track/59iEMlCecSDtur0rlSOmvX,12/27/2019,1/3/2020,Denmark
78,Finde Tilbage,Citybois,105426,https://open.spotify.com/track/2PULF2IhwRZg7Qpx3x4lHg,12/27/2019,1/3/2020,Denmark
79,The Box,Roddy Ricch,104329,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,12/27/2019,1/3/2020,Denmark
80,Trampoline,SHAED,104314,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,Denmark
81,HERE (For Christmas),Lukas Graham,103573,https://open.spotify.com/track/1Cth2nNUYYfCiSoIei6rCi,12/27/2019,1/3/2020,Denmark
82,DANCE,CLMD,102774,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J,12/27/2019,1/3/2020,Denmark
83,Shorty Ringer,Josef Og Elias,102408,https://open.spotify.com/track/3rGihyErlJWAViz6PKBtts,12/27/2019,1/3/2020,Denmark
84,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,102204,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,12/27/2019,1/3/2020,Denmark
85,Up All Night,Khalid,101604,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,12/27/2019,1/3/2020,Denmark
86,Rum Bum Bum - Hedegaard Remix,NAVID,100516,https://open.spotify.com/track/6vZ9Fgoy6lDqCbYNI67Ewt,12/27/2019,1/3/2020,Denmark
87,Sweet but Psycho,Ava Max,100047,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,12/27/2019,1/3/2020,Denmark
88,Plastic,Pind,99858,https://open.spotify.com/track/758P0zO2goHiN3NA5OW1Qe,12/27/2019,1/3/2020,Denmark
89,Be Alright,Dean Lewis,97390,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,12/27/2019,1/3/2020,Denmark
90,Alle Skuffer Over Tid - Single Edit,The Minds Of 99,96989,https://open.spotify.com/track/6a2itcAnQzfViAiAly2Eg8,12/27/2019,1/3/2020,Denmark
91,næ,Ude Af Kontrol,96196,https://open.spotify.com/track/23jbwmkkrvGJhz1J6vAXii,12/27/2019,1/3/2020,Denmark
92,Efter Mig,Jimilian,96004,https://open.spotify.com/track/5Mbtof5Olmn8JDvm6PI1Az,12/27/2019,1/3/2020,Denmark
93,"Alone, Pt. II",Alan Walker,95931,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,12/27/2019,1/3/2020,Denmark
94,Old Town Road - Remix,Lil Nas X,94990,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Denmark
95,Protokol,Jamaika,94936,https://open.spotify.com/track/2zykitlpirl2soC7LwtWP3,12/27/2019,1/3/2020,Denmark
96,Yellow Hearts,Ant Saunders,94195,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,12/27/2019,1/3/2020,Denmark
97,Wow.,Post Malone,93585,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,12/27/2019,1/3/2020,Denmark
98,Sig Mig,Citybois,93378,https://open.spotify.com/track/2kDVTfMiMP8ignU2hU2yCB,12/27/2019,1/3/2020,Denmark
99,Hurtige Hænder - Acoustic Version - Moyo Live P3,The Minds Of 99,93210,https://open.spotify.com/track/3D0VPp6nCN9dsyUjFv2BvP,12/27/2019,1/3/2020,Denmark
100,One Kiss (with Dua Lipa),Calvin Harris,92713,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,12/27/2019,1/3/2020,Denmark
101,Snakker For Meget,Tessa,92497,https://open.spotify.com/track/5WvK9QLls6WikBoh5RrroV,12/27/2019,1/3/2020,Denmark
102,Op A,Ude Af Kontrol,92395,https://open.spotify.com/track/79JoAfAjEcCtFYyeJCGwkK,12/27/2019,1/3/2020,Denmark
103,Post Malone (feat. RANI),Sam Feldt,92180,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,12/27/2019,1/3/2020,Denmark
104,Bobler,Emil Stabil,92118,https://open.spotify.com/track/0EL20wusoub4jEKsCfnHdt,12/27/2019,1/3/2020,Denmark
105,If the World Was Ending - feat. Julia Michaels,JP Saxe,91279,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,12/27/2019,1/3/2020,Denmark
106,Suicidal,YNW Melly,90778,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,12/27/2019,1/3/2020,Denmark
107,All My Love,Rocazino,90773,https://open.spotify.com/track/49clGe0PtbYUx3vB7tyk3A,12/27/2019,1/3/2020,Denmark
108,Balenci,Larry 44,89646,https://open.spotify.com/track/3oP9C6MAm8i4SvYB37GDto,12/27/2019,1/3/2020,Denmark
109,Thorns,Faustix,89513,https://open.spotify.com/track/6DuE8kXIDJ3oiCibWXmgeN,12/27/2019,1/3/2020,Denmark
110,Goodbyes (Feat. Young Thug),Post Malone,89099,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,12/27/2019,1/3/2020,Denmark
111,Lights Up,Harry Styles,88839,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,12/27/2019,1/3/2020,Denmark
112,Legend,Clara,88623,https://open.spotify.com/track/13AdfYuWXDecUoQbpijnXI,12/27/2019,1/3/2020,Denmark
113,Vossi Bop,Stormzy,88603,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG,12/27/2019,1/3/2020,Denmark
114,Lovesong,Rasmus Seebach,88571,https://open.spotify.com/track/5RQPWVOhfVkSQfHiR5tvK0,12/27/2019,1/3/2020,Denmark
115,RITMO (Bad Boys For Life),Black Eyed Peas,88548,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Denmark
116,Bruises,Lewis Capaldi,88255,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,12/27/2019,1/3/2020,Denmark
117,Pizza,ADHD,87850,https://open.spotify.com/track/6Eily61EQjZCcbvYHuCNcJ,12/27/2019,1/3/2020,Denmark
118,Kom Over,KESI,86893,https://open.spotify.com/track/6Lu7LCf7t7V6X7i4NQywcT,12/27/2019,1/3/2020,Denmark
119,Oui,Sivas,86862,https://open.spotify.com/track/7j8K8PE1tO2TvhY15E8ZcD,12/27/2019,1/3/2020,Denmark
120,Ka Du Ik,Omar,86630,https://open.spotify.com/track/4jm5AHENFhFjz5m9kXgwQ9,12/27/2019,1/3/2020,Denmark
121,Sidechick (Carmon X Jamaika),Carmon,86504,https://open.spotify.com/track/7M9YbTUwskBoI42Vj4Rkqq,12/27/2019,1/3/2020,Denmark
122,Detaljen (feat. Fouli),TopGunn,85509,https://open.spotify.com/track/7FXfrOsoBv8AU9E7hWRTbH,12/27/2019,1/3/2020,Denmark
123,Danza Kuduro,Don Omar,84960,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,12/27/2019,1/3/2020,Denmark
124,STANDARD,I$WAAL,83183,https://open.spotify.com/track/4Jh3p0TydgTJZ444pPhVvd,12/27/2019,1/3/2020,Denmark
125,In My Mind,Dynoro,82731,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,12/27/2019,1/3/2020,Denmark
126,Turn Me On (feat. Vula),Riton,82704,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,12/27/2019,1/3/2020,Denmark
127,lovely (with Khalid),Billie Eilish,82600,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,12/27/2019,1/3/2020,Denmark
128,Sydpå,Bro,82161,https://open.spotify.com/track/1lahfyqBPVvBIxf3XgmQmZ,12/27/2019,1/3/2020,Denmark
129,Complicated - Faustix Remix,Alexander Oscar,82069,https://open.spotify.com/track/0HbPfCPmndvkevg4TjwcJQ,12/27/2019,1/3/2020,Denmark
130,Don't Call Me Up,Mabel,82017,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,12/27/2019,1/3/2020,Denmark
131,24/7,Scarlet Pleasure,81463,https://open.spotify.com/track/7Gh29sTql3Yln7gzOB6QZG,12/27/2019,1/3/2020,Denmark
132,Tørstig,ATYPISK,81044,https://open.spotify.com/track/2p4vB52Yldwo2xIutFdc8Y,12/27/2019,1/3/2020,Denmark
133,Falling,Harry Styles,80737,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,12/27/2019,1/3/2020,Denmark
134,Salt,Ava Max,80554,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV,12/27/2019,1/3/2020,Denmark
135,Wake Me Up,Avicii,80496,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,12/27/2019,1/3/2020,Denmark
136,BOP,DaBaby,80302,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,12/27/2019,1/3/2020,Denmark
137,Shape of You,Ed Sheeran,79387,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,12/27/2019,1/3/2020,Denmark
138,Gothersgade,Artigeardit,79338,https://open.spotify.com/track/0vhJulS8V02SDpBTY2XQjI,12/27/2019,1/3/2020,Denmark
139,God For Mig (feat. Artigeardit),Skinz,79306,https://open.spotify.com/track/2MDSe6m311ZglbTQ4l686g,12/27/2019,1/3/2020,Denmark
140,SOS (feat. Aloe Blacc),Avicii,79195,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,12/27/2019,1/3/2020,Denmark
141,GATTI,JACKBOYS,78645,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,12/27/2019,1/3/2020,Denmark
142,Futsal Shuffle 2020,Lil Uzi Vert,78463,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,12/27/2019,1/3/2020,Denmark
143,Talk (feat. Disclosure),Khalid,78432,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,12/27/2019,1/3/2020,Denmark
144,7 rings,Ariana Grande,77226,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Denmark
145,JUNGLE,MellemFingaMuzik,76932,https://open.spotify.com/track/0VWTSWZVask2dSMShSphvM,12/27/2019,1/3/2020,Denmark
146,Su Casa,KESI,75709,https://open.spotify.com/track/4yF9erb9bMUIRXr6QdPgP4,12/27/2019,1/3/2020,Denmark
147,Vågn Op (feat. Don Stefano),KESI,75494,https://open.spotify.com/track/12XzE38rlgROFbDsy0Q31l,12/27/2019,1/3/2020,Denmark
148,Eastside (with Halsey & Khalid),benny blanco,75455,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,12/27/2019,1/3/2020,Denmark
149,Rum Bum Bum,NAVID,75155,https://open.spotify.com/track/0QzldbZnd9gLpor4S2EzJc,12/27/2019,1/3/2020,Denmark
150,Hyg Hver Dag (feat. Citybois),TopGunn,74933,https://open.spotify.com/track/5EGO6sCOZuracSGyAPvu3F,12/27/2019,1/3/2020,Denmark
151,Ransom,Lil Tecca,74841,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,12/27/2019,1/3/2020,Denmark
152,Air Tonight (feat. Benjamin Hav),Emil Kruse,74486,https://open.spotify.com/track/513USzRJreYwoYoIsqrvB2,12/27/2019,1/3/2020,Denmark
153,ocean eyes,Billie Eilish,74300,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,12/27/2019,1/3/2020,Denmark
154,Giant (with Rag'n'Bone Man),Calvin Harris,73750,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,12/27/2019,1/3/2020,Denmark
155,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,73363,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,12/27/2019,1/3/2020,Denmark
156,Langt Ude,Ude Af Kontrol,73154,https://open.spotify.com/track/45j9h6oqPrQaN4Y4uQhGNu,12/27/2019,1/3/2020,Denmark
157,Some Say,Nea,72923,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h,12/27/2019,1/3/2020,Denmark
158,Blah Blah Blah,Armin van Buuren,72832,https://open.spotify.com/track/65lC7Ey8QaVLvItAMF6Ap8,12/27/2019,1/3/2020,Denmark
159,Kongespil - Tinka og Kongespillet,Hjalmer,72810,https://open.spotify.com/track/0nQBmwUprs4LYyhECw44LH,12/27/2019,1/3/2020,Denmark
160,For Evigt,Volbeat,72648,https://open.spotify.com/track/59fQzvSv0wPQorW2Bh0pns,12/27/2019,1/3/2020,Denmark
161,Dancing On My Own,Calum Scott,72523,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ,12/27/2019,1/3/2020,Denmark
162,Solo,Faustix,72455,https://open.spotify.com/track/3Eemi4XR3hqNP4JnIV35Ca,12/27/2019,1/3/2020,Denmark
163,Ung Kniv,The Minds Of 99,72350,https://open.spotify.com/track/3LyOoM4J9QzrD0GbPuzEyz,12/27/2019,1/3/2020,Denmark
164,Ufødte,Jamaika,72173,https://open.spotify.com/track/4PocOpOXL2QJZmeGTV4mso,12/27/2019,1/3/2020,Denmark
165,Dag 1,Gilli,72141,https://open.spotify.com/track/0atWq5Ua1ax7zMKDjSQEpg,12/27/2019,1/3/2020,Denmark
166,Without Me,Halsey,72139,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,12/27/2019,1/3/2020,Denmark
167,bury a friend,Billie Eilish,71759,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,12/27/2019,1/3/2020,Denmark
168,Mean It,Lauv,71697,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,12/27/2019,1/3/2020,Denmark
169,Let Me Down Slowly,Alec Benjamin,71653,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,12/27/2019,1/3/2020,Denmark
170,Nu Her,Benal,71517,https://open.spotify.com/track/73skF4Y2MgeL9YwJYv4ac9,12/27/2019,1/3/2020,Denmark
171,September,"Earth, Wind & Fire",71094,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw,12/27/2019,1/3/2020,Denmark
172,rockstar (feat. 21 Savage),Post Malone,70909,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,12/27/2019,1/3/2020,Denmark
173,Outnumbered,Dermot Kennedy,70648,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE,12/27/2019,1/3/2020,Denmark
174,Moonlight,Gaullin,70458,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW,12/27/2019,1/3/2020,Denmark
175,Jeg Vil La' Lyset Brænde,Ray Dee Ohh,70420,https://open.spotify.com/track/1rRcFwE1ydO2Y5jSmk1UIs,12/27/2019,1/3/2020,Denmark
176,Family,The Chainsmokers,70394,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,12/27/2019,1/3/2020,Denmark
177,July,Noah Cyrus,70150,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,12/27/2019,1/3/2020,Denmark
178,Robbery,Juice WRLD,69987,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,12/27/2019,1/3/2020,Denmark
179,My Heart,Christopher,69704,https://open.spotify.com/track/1zVfFnkHv8ubJRXT30d4T3,12/27/2019,1/3/2020,Denmark
180,SOM DU SMILER,AMAL,68979,https://open.spotify.com/track/3pAosPVaUb2HF1vUKGZQmX,12/27/2019,1/3/2020,Denmark
181,Sucker,Jonas Brothers,68941,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,12/27/2019,1/3/2020,Denmark
182,Sweet Dreams (Are Made of This),Winati,68519,https://open.spotify.com/track/1o9D0rUusi2V5idyOEOPII,12/27/2019,1/3/2020,Denmark
183,Under Stjernerne På Himlen,Rasmus Seebach,68254,https://open.spotify.com/track/2RKQ6S9N9s0BHmW1zvjaoS,12/27/2019,1/3/2020,Denmark
184,Crazy,Clara,67926,https://open.spotify.com/track/2SLn2MQzKGwCJXFF6Gntg7,12/27/2019,1/3/2020,Denmark
