,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
87,Bellacoso,Residente,33369,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S,12/27/2019,1/3/2020,Costa Rica
88,everything i wanted,Billie Eilish,33130,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Costa Rica
89,El Listón De Tu Pelo,Los Ángeles Azules,33009,https://open.spotify.com/track/5hrxAFrYbNTLjAYSrmbpgr,12/27/2019,1/3/2020,Costa Rica
90,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,32659,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,Costa Rica
91,Si Se Da,Myke Towers,32654,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,12/27/2019,1/3/2020,Costa Rica
92,Old Town Road - Remix,Lil Nas X,32549,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Costa Rica
93,Qué Hay de Malo - Reggae Version,Farruko,32430,https://open.spotify.com/track/1clTca5X3tpBjNgfpsd3wu,12/27/2019,1/3/2020,Costa Rica
94,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,31747,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,12/27/2019,1/3/2020,Costa Rica
95,GANG GANG,JACKBOYS,31733,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,12/27/2019,1/3/2020,Costa Rica
96,Coronao Now,El Alfa,31376,https://open.spotify.com/track/7FbKipScVxkjQxQXwTd0gL,12/27/2019,1/3/2020,Costa Rica
97,Créeme,KAROL G,30948,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU,12/27/2019,1/3/2020,Costa Rica
98,Qué Pena,Maluma,30793,https://open.spotify.com/track/5099x34vBakWpGkHourFxP,12/27/2019,1/3/2020,Costa Rica
99,Infeliz,Arcangel,30696,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m,12/27/2019,1/3/2020,Costa Rica
100,Shape of You,Ed Sheeran,30514,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,12/27/2019,1/3/2020,Costa Rica
101,Procura,ChiChi Peralta,30500,https://open.spotify.com/track/2q9udNV9NK0BL3q9p6TLxf,12/27/2019,1/3/2020,Costa Rica
102,Believer,Imagine Dragons,29835,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,12/27/2019,1/3/2020,Costa Rica
103,Runaway,Sebastian Yatra,29827,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,12/27/2019,1/3/2020,Costa Rica
104,Te Quemaste,Manuel Turizo,29618,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC,12/27/2019,1/3/2020,Costa Rica
105,El Año Viejo,Tony Camargo,29455,https://open.spotify.com/track/5PZlMcW7VUlti8IRdApRIn,12/27/2019,1/3/2020,Costa Rica
106,Mis Sentimientos,Los Ángeles Azules,29362,https://open.spotify.com/track/2LyHAsMcpW0Dm17rWYa79p,12/27/2019,1/3/2020,Costa Rica
107,Baila Baila Baila - Remix,Ozuna,29142,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt,12/27/2019,1/3/2020,Costa Rica
108,Bonita,Juanes,29132,https://open.spotify.com/track/3ewwb5s3WHYqEdkBnwKlTS,12/27/2019,1/3/2020,Costa Rica
109,Por Eso Vine,Paulo Londra,28866,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu,12/27/2019,1/3/2020,Costa Rica
110,Ni Gucci Ni Prada,Kenny Man,28641,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,12/27/2019,1/3/2020,Costa Rica
111,How Do You Sleep?,Sam Smith,28547,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Costa Rica
112,Mi Niña Mujer,Los Ángeles Azules,28491,https://open.spotify.com/track/2WPxFf05MYsEHQCxonA1vS,12/27/2019,1/3/2020,Costa Rica
113,CANGURO,WOS,28450,https://open.spotify.com/track/2UAWYufVaO3EnUUNzl0ppO,12/27/2019,1/3/2020,Costa Rica
114,Bohemian Rhapsody - Remastered 2011,Queen,28333,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,12/27/2019,1/3/2020,Costa Rica
115,Blinding Lights,The Weeknd,28260,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Costa Rica
116,Watermelon Sugar,Harry Styles,28129,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Costa Rica
117,La Forma en Que Me Miras,Super Yei,27796,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW,12/27/2019,1/3/2020,Costa Rica
118,Sola,Manuel Turizo,27419,https://open.spotify.com/track/0KHhNlHN5lWn7q332PiPys,12/27/2019,1/3/2020,Costa Rica
119,La Boca - Remix,Mau y Ricky,27281,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,12/27/2019,1/3/2020,Costa Rica
120,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,27136,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G,12/27/2019,1/3/2020,Costa Rica
121,Vaina Loca,Ozuna,26963,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,12/27/2019,1/3/2020,Costa Rica
122,Amanece,Anuel AA,26959,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,12/27/2019,1/3/2020,Costa Rica
123,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,26811,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,12/27/2019,1/3/2020,Costa Rica
124,OUT WEST (feat. Young Thug),JACKBOYS,26501,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,12/27/2019,1/3/2020,Costa Rica
125,Sígueme - Remix,Feid,26424,https://open.spotify.com/track/7IpRYJ71dk98P0SmgnNLYh,12/27/2019,1/3/2020,Costa Rica
126,Flor Pálida,Marc Anthony,26379,https://open.spotify.com/track/47TyfLrGhYHHyyQWk64d0M,12/27/2019,1/3/2020,Costa Rica
127,7 rings,Ariana Grande,26330,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Costa Rica
128,Imaginate,Rich Music LTD,26327,https://open.spotify.com/track/29ShXDWDedEwZkYc8Du08N,12/27/2019,1/3/2020,Costa Rica
129,Cuando Te Besé,Becky G,26241,https://open.spotify.com/track/74wEiOpnvCe1tCTWKGSYta,12/27/2019,1/3/2020,Costa Rica
130,La Cartera,Farruko,25990,https://open.spotify.com/track/1g2Z2lOrwayOzDqOc8EfbR,12/27/2019,1/3/2020,Costa Rica
