,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
89,Вс искат да са лоши,Boro Purvi,5879,https://open.spotify.com/track/00xxLYArclw9ACfboY8cl8,12/27/2019,1/3/2020,Bulgaria
90,Gladen,Itzo Hazarta,5768,https://open.spotify.com/track/3SEPI4YkmPsiDutWBjZjmZ,12/27/2019,1/3/2020,Bulgaria
91,Fenomenalen,Galena,5740,https://open.spotify.com/track/69zyifKelGUoEBEKfCX5ri,12/27/2019,1/3/2020,Bulgaria
92,Black Panther (feat. Rafal),Nebezao,5732,https://open.spotify.com/track/4efLhkYJJf2R6WhbwpFi85,12/27/2019,1/3/2020,Bulgaria
93,Wow.,Post Malone,5727,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,12/27/2019,1/3/2020,Bulgaria
94,Believer,Imagine Dragons,5653,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,12/27/2019,1/3/2020,Bulgaria
95,Sled 1000 zheni,Desi Slava,5617,https://open.spotify.com/track/5toNqUDZ7cQupMdUK6pM8a,12/27/2019,1/3/2020,Bulgaria
96,all the good girls go to hell,Billie Eilish,5586,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,12/27/2019,1/3/2020,Bulgaria
97,Ne te zabravyam,Preslava,5584,https://open.spotify.com/track/6o9F8qsYr6SfBNv1U9NO6b,12/27/2019,1/3/2020,Bulgaria
98,Let Me Down Slowly,Alec Benjamin,5522,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,12/27/2019,1/3/2020,Bulgaria
99,Sweet but Psycho,Ava Max,5468,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,12/27/2019,1/3/2020,Bulgaria
100,Не ме наричай скъпа (feat. Lidia),Alisia,5394,https://open.spotify.com/track/6GWyQNNGkF7R2oGonZ6abX,12/27/2019,1/3/2020,Bulgaria
101,SOSA MAJE,V:RGO,5343,https://open.spotify.com/track/2aXA19q9hOLYZAcU2wCWP8,12/27/2019,1/3/2020,Bulgaria
102,Moonlight,XXXTENTACION,5335,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,12/27/2019,1/3/2020,Bulgaria
103,Iztreznyavash li,Preslava,5297,https://open.spotify.com/track/37A9mjY0rTDi5qw9zh9gL5,12/27/2019,1/3/2020,Bulgaria
104,The London (feat. J. Cole & Travis Scott),Young Thug,5281,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,12/27/2019,1/3/2020,Bulgaria
105,Я се махай,Boro Purvi,5258,https://open.spotify.com/track/51sbcrOChj1tG0QrumZkct,12/27/2019,1/3/2020,Bulgaria
106,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,5252,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,12/27/2019,1/3/2020,Bulgaria
107,Bohemian Rhapsody - Remastered 2011,Queen,5241,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,12/27/2019,1/3/2020,Bulgaria
108,Taste (feat. Offset),Tyga,5219,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt,12/27/2019,1/3/2020,Bulgaria
109,Don't Call Me Up,Mabel,5215,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,12/27/2019,1/3/2020,Bulgaria
110,All I Want for Christmas Is You,Mariah Carey,5208,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,12/27/2019,1/3/2020,Bulgaria
111,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,5187,https://open.spotify.com/track/6zegtH6XXd2PDPLvy1Y0n2,12/27/2019,1/3/2020,Bulgaria
112,Graveyard,Halsey,5183,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,12/27/2019,1/3/2020,Bulgaria
113,Trika Trika,Faydee,5177,https://open.spotify.com/track/7xMJ3lQD6rXWqoPKjlu4OO,12/27/2019,1/3/2020,Bulgaria
114,Mother's Daughter,Miley Cyrus,5166,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,12/27/2019,1/3/2020,Bulgaria
115,27 Club,Boro Purvi,5156,https://open.spotify.com/track/40r5aSMv4M7CfITWK81f78,12/27/2019,1/3/2020,Bulgaria
116,VIBEZ,DaBaby,5139,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,12/27/2019,1/3/2020,Bulgaria
117,Nay-boli me,Tedi Aleksandrova,5060,https://open.spotify.com/track/4VGwMJJ9Al4ENmRN9vsGc8,12/27/2019,1/3/2020,Bulgaria
118,Da Ili Ne,Krisko,5040,https://open.spotify.com/track/2rT6xyUhl3d1rGnvSjnWXz,12/27/2019,1/3/2020,Bulgaria
119,HUMBLE.,Kendrick Lamar,5024,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,12/27/2019,1/3/2020,Bulgaria
120,Tragvay si,Emilia,5004,https://open.spotify.com/track/1HFM7MynZQTota9GSdPZt5,12/27/2019,1/3/2020,Bulgaria
121,"thank u, next",Ariana Grande,4993,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,12/27/2019,1/3/2020,Bulgaria
122,Izvestna,Mascota,4982,https://open.spotify.com/track/36K4JkkYULpfhYuuemxJMp,12/27/2019,1/3/2020,Bulgaria
123,Better Now,Post Malone,4980,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,12/27/2019,1/3/2020,Bulgaria
124,Happier,Marshmello,4962,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,12/27/2019,1/3/2020,Bulgaria
125,Принцесса,Babek Mamedrzaev,4951,https://open.spotify.com/track/6d4YTLAXAMUC8vxsSyBkmt,12/27/2019,1/3/2020,Bulgaria
126,Starboy,The Weeknd,4935,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,12/27/2019,1/3/2020,Bulgaria
127,Harleys In Hawaii,Katy Perry,4884,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR,12/27/2019,1/3/2020,Bulgaria
128,Сметката,Boro Purvi,4850,https://open.spotify.com/track/0GLrISF5TyyW87eT4f69c7,12/27/2019,1/3/2020,Bulgaria
129,Before You Go,Lewis Capaldi,4771,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Bulgaria
130,Nyama upoyka,Alisia,4765,https://open.spotify.com/track/174u6C498DlcSXx2jCdux5,12/27/2019,1/3/2020,Bulgaria
131,Death,Trippie Redd,4763,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,12/27/2019,1/3/2020,Bulgaria
132,VALENTINO,24kGoldn,4748,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q,12/27/2019,1/3/2020,Bulgaria
133,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,4736,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,12/27/2019,1/3/2020,Bulgaria
134,Детство,Rauf & Faik,4729,https://open.spotify.com/track/381kyofsIJKajRfX9iKLs8,12/27/2019,1/3/2020,Bulgaria
135,you should see me in a crown,Billie Eilish,4725,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d,12/27/2019,1/3/2020,Bulgaria
136,Dancing With A Stranger (with Normani),Sam Smith,4721,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,12/27/2019,1/3/2020,Bulgaria
137,Going Bad (feat. Drake),Meek Mill,4710,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,12/27/2019,1/3/2020,Bulgaria
138,Vechno svarzani,Emanuela,4701,https://open.spotify.com/track/6c5pgfWscGu7AGguiFiwC7,12/27/2019,1/3/2020,Bulgaria
139,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,4661,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,12/27/2019,1/3/2020,Bulgaria
140,Pure Water (with Migos),Mustard,4658,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8,12/27/2019,1/3/2020,Bulgaria
141,BUTTERFLY EFFECT,Travis Scott,4650,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4,12/27/2019,1/3/2020,Bulgaria
142,Falling,Harry Styles,4601,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,12/27/2019,1/3/2020,Bulgaria
143,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,4596,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,12/27/2019,1/3/2020,Bulgaria
144,Shampion,Anelia,4562,https://open.spotify.com/track/2SSAm64DnzKKlfrGUEpULX,12/27/2019,1/3/2020,Bulgaria
145,Лапешки филм / Съвпадения,Boro Purvi,4547,https://open.spotify.com/track/6ZzBMehonqTRKyQQK2z2nM,12/27/2019,1/3/2020,Bulgaria
146,Yellow Hearts,Ant Saunders,4544,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,12/27/2019,1/3/2020,Bulgaria
147,Nova magistrala 20-19,Ilian,4540,https://open.spotify.com/track/6byqDtqlOWnUI2fcHSntYm,12/27/2019,1/3/2020,Bulgaria
