,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
60,Adan y Eva,Paulo Londra,434282,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,12/27/2019,1/3/2020,Argentina
61,No Te Creas Tan Importante - En Vivo,Damas Gratis,427179,https://open.spotify.com/track/3trowLiYwwOoiwapLISNyk,12/27/2019,1/3/2020,Argentina
62,FRESCO,WOS,410948,https://open.spotify.com/track/0blWPYAfbvpRLVHUcmqmmj,12/27/2019,1/3/2020,Argentina
63,El efecto - Remix,DJ Alex,395038,https://open.spotify.com/track/4LRYdLim72NkkWlBBgKOZG,12/27/2019,1/3/2020,Argentina
64,QUE PRETENDES,J Balvin,391975,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,12/27/2019,1/3/2020,Argentina
65,Te Robaré,Nicky Jam,384983,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T,12/27/2019,1/3/2020,Argentina
66,Olvídala,Los Palmeras,383485,https://open.spotify.com/track/0cXGtTRfQKSHojilCoBAOd,12/27/2019,1/3/2020,Argentina
67,Fantasias - Unplugged,Rauw Alejandro,379869,https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun,12/27/2019,1/3/2020,Argentina
68,High,Maria Becerra,379103,https://open.spotify.com/track/5vPtzdjJ9tm7XCoKDH22Gb,12/27/2019,1/3/2020,Argentina
69,ROXANNE,Arizona Zervas,369925,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Argentina
70,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,368383,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,12/27/2019,1/3/2020,Argentina
71,Años Luz,Nicki Nicole,366805,https://open.spotify.com/track/0BNtpLD6zsXJGroRtcixOE,12/27/2019,1/3/2020,Argentina
72,Un Año,Sebastian Yatra,365467,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,12/27/2019,1/3/2020,Argentina
73,Baila Conmigo (feat. Kelly Ruiz),Dayvi,365064,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,12/27/2019,1/3/2020,Argentina
74,Disfruto,Ke Personajes,364825,https://open.spotify.com/track/1v4ggzkdNysd77L7oJ6GmU,12/27/2019,1/3/2020,Argentina
75,"Trueno: Bzrp Music Sessions, Vol. 16",Bizarrap,364158,https://open.spotify.com/track/7ouulWlZPefmEIGYWNyiPH,12/27/2019,1/3/2020,Argentina
76,Hasta Que Salga el Sol,Ozuna,364103,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl,12/27/2019,1/3/2020,Argentina
77,La Playax,Fer Palacio,362684,https://open.spotify.com/track/40fOB5r0wfKzcKZU0SkrAI,12/27/2019,1/3/2020,Argentina
78,Atrévete,Nicky Jam,352941,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj,12/27/2019,1/3/2020,Argentina
79,Uno más uno,DJ Alex,351161,https://open.spotify.com/track/56HBkP5mBsUALQnstFiqIY,12/27/2019,1/3/2020,Argentina
80,Tik Tok Remix,DJ Alex,345099,https://open.spotify.com/track/39Eg7ODMsB9Uu55Q0UJQzV,12/27/2019,1/3/2020,Argentina
81,Te Olvidaré,MYA,341933,https://open.spotify.com/track/4jrZI0XdexLjrHlBwLbhzL,12/27/2019,1/3/2020,Argentina
82,Otro Trago,Sech,340479,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,12/27/2019,1/3/2020,Argentina
83,Qué Pena,Maluma,339186,https://open.spotify.com/track/5099x34vBakWpGkHourFxP,12/27/2019,1/3/2020,Argentina
84,Velitas,Darell,338747,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq,12/27/2019,1/3/2020,Argentina
85,Memories,Maroon 5,332125,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Argentina
86,La Cama,Lunay,327846,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1,12/27/2019,1/3/2020,Argentina
87,Cristina,Sebastian Yatra,326472,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k,12/27/2019,1/3/2020,Argentina
88,bad guy,Billie Eilish,324591,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Argentina
